gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn
Female,No,Yes,No,1,DSL,No,Yes,No,No,No,Yes,29.85,No
Male,No,No,No,34,DSL,Yes,No,Yes,No,No,No,56.95,No
Male,No,No,No,2,DSL,Yes,Yes,No,No,No,Yes,53.85,Yes
Male,No,No,No,45,DSL,Yes,No,Yes,Yes,No,No,42.3,No
Female,No,No,No,2,Fiber optic,No,No,No,No,No,Yes,70.7,Yes
Female,No,No,No,8,Fiber optic,No,No,Yes,No,Yes,Yes,99.65,Yes
Male,No,No,Yes,22,Fiber optic,No,Yes,No,No,Yes,Yes,89.1,No
Female,No,No,No,10,DSL,Yes,No,No,No,No,No,29.75,No
Female,No,Yes,No,28,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.8,Yes
Male,No,No,Yes,62,DSL,Yes,Yes,No,No,No,No,56.15,No
Male,No,Yes,Yes,13,DSL,Yes,No,No,No,No,Yes,49.95,No
Male,No,Yes,No,58,Fiber optic,No,No,Yes,No,Yes,No,100.35,No
Male,No,No,No,49,Fiber optic,No,Yes,Yes,No,Yes,Yes,103.7,Yes
Male,No,No,No,25,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,105.5,No
Female,No,Yes,Yes,69,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,113.25,No
Male,No,No,Yes,71,Fiber optic,Yes,No,Yes,No,Yes,No,106.7,No
Female,No,Yes,Yes,10,DSL,No,No,Yes,Yes,No,No,55.2,Yes
Female,No,No,No,21,Fiber optic,No,Yes,Yes,No,No,Yes,90.05,No
Male,Yes,No,No,1,DSL,No,No,Yes,No,No,Yes,39.65,Yes
Female,No,Yes,No,58,DSL,No,Yes,No,Yes,No,Yes,59.9,No
Male,No,Yes,Yes,49,DSL,Yes,Yes,No,Yes,No,No,59.6,No
Female,No,No,No,30,DSL,Yes,Yes,No,No,No,Yes,55.3,No
Male,No,Yes,Yes,47,Fiber optic,No,Yes,No,No,Yes,Yes,99.35,Yes
Male,No,Yes,Yes,1,DSL,No,Yes,No,No,No,No,30.2,Yes
Male,No,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,90.25,No
Female,No,No,Yes,17,DSL,No,No,No,No,Yes,Yes,64.7,Yes
Female,Yes,Yes,No,71,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,96.35,No
Male,Yes,Yes,No,2,Fiber optic,No,No,Yes,No,Yes,Yes,95.5,No
Female,No,Yes,Yes,27,DSL,Yes,Yes,Yes,Yes,No,No,66.15,No
Male,Yes,No,No,1,DSL,No,No,No,No,No,No,45.25,No
Female,No,Yes,Yes,72,Fiber optic,Yes,Yes,No,Yes,Yes,No,99.9,No
Male,No,No,No,5,Fiber optic,No,No,No,No,No,Yes,69.7,Yes
Female,No,No,No,46,Fiber optic,No,No,Yes,No,No,Yes,74.8,No
Male,No,No,No,34,Fiber optic,No,Yes,Yes,No,Yes,Yes,106.35,Yes
Female,No,No,No,11,Fiber optic,No,No,Yes,No,Yes,Yes,97.85,Yes
Male,No,Yes,Yes,10,DSL,No,Yes,No,No,No,No,49.55,No
Female,No,Yes,Yes,70,DSL,Yes,Yes,No,No,Yes,Yes,69.2,No
Female,No,No,No,63,DSL,Yes,Yes,Yes,Yes,Yes,Yes,79.85,No
Female,No,Yes,No,13,DSL,Yes,Yes,No,Yes,Yes,Yes,76.2,No
Female,No,No,No,49,Fiber optic,No,No,No,No,No,Yes,84.5,No
Male,No,No,No,2,DSL,No,Yes,No,No,No,No,49.25,No
Female,No,No,No,2,Fiber optic,No,No,No,No,Yes,Yes,80.65,Yes
Male,No,No,No,52,DSL,Yes,No,No,Yes,Yes,Yes,79.75,No
Female,No,Yes,Yes,69,DSL,Yes,No,Yes,Yes,No,Yes,64.15,No
Female,Yes,No,No,43,Fiber optic,No,Yes,No,No,Yes,Yes,90.25,No
Female,No,No,No,15,Fiber optic,Yes,Yes,No,No,Yes,Yes,99.1,Yes
